Comment,Designator,Footprint,LCSC,Quantity
220pF,"C8,C9",C_0805_2012Metric,C107145,2
DRV8835DSSR,U4,DSS0012A,C129328,1
MBR120,"D1,D2",D_SOD-123,C130880,2
USB_OTG,J1,USB_Micro-AB_Molex_47590-0001,C136001,1
0.1uF,"C11,C2,C5",C_0603_1608Metric,C14663,3
10uF,"C1,C10,C6,C7",C_0805_2012Metric,C15850,4
22pF,"C3,C4",C_0603_1608Metric,C1653,2
22,"R2,R3",R_0603_1608Metric,C23345,2
10k,R1,R_0603_1608Metric,C25804,1
FerriteBead,"FB1,FB2",L_0805_2012Metric,C442498,2
AP2112K-3.3,U2,SOT-23-5,C51118,1
MDBT50Q-1MV2,U1,Raytac_MDBT50Q,C5118826,1
Micro_SD_Card,J4,microSD_HC_Molex_104031-0811,C585350,1
32.768,Y1,Crystal_SMD_MicroCrystal_CC7V-T1A-2Pin_3.2x1.5mm,C620155,1
MAX98357A,U3,TQFN-16-1EP_3x3mm_P0.5mm_EP1.23x1.23mm,C910544,1
KMR231GLFS,"S1,S2",SW4SMD_63X161LS,C99271,2
