Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,10uF,C_0805_2012Metric,148.965,-92.915,0.0,top
C2,0.1uF,C_0603_1608Metric,145.14,-93.915,0.0,top
C3,22pF,C_0603_1608Metric,140.14,-88.915,0.0,top
C4,22pF,C_0603_1608Metric,140.14,-94.915,0.0,top
C5,0.1uF,C_0603_1608Metric,145.14,-91.915,0.0,top
C6,10uF,C_0805_2012Metric,159.965,-88.915,0.0,top
C7,10uF,C_0805_2012Metric,159.965,-91.925,0.0,top
D1,MBR120,D_SOD-123,154.265,-89.085,0.0,top
D2,MBR120,D_SOD-123,154.265,-92.435,0.0,top
J1,USB_OTG,USB_Micro-AB_Molex_47590-0001,171.455,-88.7025,180.0,top
R1,10k,R_0603_1608Metric,155.485,-95.365,0.0,top
R2,22,R_0603_1608Metric,164.09,-90.915,0.0,top
"R2,3",22,R_0603_1608Metric,164.09,-88.915,0.0,top
S1,KMR231GLFS,SW4SMD_63X161LS,145.865,-88.715,0.0,top
S2,KMR231GLFS,SW4SMD_63X161LS,145.865,-97.115,0.0,top
U1,MDBT50Q-1MV2,Raytac_MDBT50Q,130.315,-92.915,90.0,top
U2,AP2112K,SOT-23-5,164.7775,-93.965,270.0,top
Y1,32.768,Crystal_SMD_MicroCrystal_CC7V-T1A-2Pin_3.2x1.5mm,139.915,-91.915,-90.0,top
